date,vol,return,return_lag1,return_lag2,dist_to_ma5,macd_hist,bb_pb,bb_bandwidth,rsi,label,rolling_volatility
2020-12-10,0.003,0.0,0.0,0.0,0.0,0.11395384011231524,0.7343512286870566,0.7082891576212124,100.0,0,
2020-12-13,5e-05,0.0,0.0,0.0,0.0,0.05960474236562807,0.71372147137596,0.6597968010306362,100.0,0,
2020-12-14,0.0106,-0.09992652461425422,0.0,0.0,-0.08157144999250254,-0.07532457455869301,0.5204226925501668,0.6029093348284964,69.1609977324263,0,
2021-02-08,0.0005,0.0,-0.09992652461425422,0.0,-0.06245216592683289,-0.1667230912779578,0.4979809072894927,0.5452090701856176,65.74307304785896,0,
2021-02-10,0.00012,0.0,0.0,-0.09992652461425422,-0.04251993121775832,-0.22566608883548667,0.4703736952460616,0.478083585164953,57.76397515527951,0,
2021-02-18,1e-05,0.0,0.0,0.0,-0.021721769685353776,-0.2606623677556683,0.43228466466042703,0.3970979593481803,34.29951690821254,0,
2021-03-22,0.001,0.0,0.0,0.0,0.0,-0.27822064232669763,0.3947358714082034,0.3409381435779615,0.0,0,
2021-04-11,0.00199,0.0,0.0,0.0,0.0,-0.28329455871316467,0.3601755457455623,0.3022212818897285,0.0,0,
2021-05-11,2e-05,0.0,0.0,0.0,0.0,-0.2796318525666255,0.31050804270095306,0.2561780985974992,0.0,0,
2021-06-09,1e-05,0.0,0.0,0.0,0.0,-0.27004786822573124,0.25964136585512265,0.22108669741535905,0.0,0,
2021-06-10,0.00047,0.0,0.0,0.0,0.0,-0.2566394560060161,0.23774943807602383,0.20959439854521267,0.0,0,
2021-06-16,0.0001,0.0,0.0,0.0,0.0,-0.24095192437518254,0.25633014137977406,0.215828392704686,0.0,0,
2021-07-27,0.0,0.0,0.0,0.0,0.0,-0.2241090730066312,0.2795923198830258,0.21588188099091532,0.0,0,
2021-08-10,1e-05,0.0,0.0,0.0,0.0,-0.20691422979898622,0.30104439356144225,0.21371567245022335,0.0,0,
2021-08-22,0.0005,0.0,0.0,0.0,0.0,-0.18992854763573058,0.32119520742956925,0.20918757174422065,0.0,0,
2021-09-14,0.00114,0.0,0.0,0.0,0.0,-0.17353149551082508,0.3404806326133744,0.20206060689998548,0.0,0,
2023-02-06,0.02852,-0.14693877551020418,0.0,0.0,-0.12111017661900769,-0.11881438815120149,-0.5621322893124705,0.13239876182563673,0.0,0,
2023-02-07,0.019440000000000002,0.0,-0.14693877551020418,0.0,-0.09366869037294012,-0.18422041492928623,-0.23100957586070112,0.18360507377828042,0.0,0,
2023-02-08,0.0062699999999999995,0.0,0.0,-0.14693877551020418,-0.06445837063563109,-0.21498550920655,-0.08005028517651344,0.2201754882666182,0.0,1,
2023-02-09,0.025670000000000002,0.19999999999999996,0.0,0.0,0.1168507303170645,-0.08855666817826396,0.7039109521012091,0.2230345034826297,53.727506426735204,0,
2023-02-12,0.00031,0.0,0.19999999999999996,0.0,0.11111111111111116,-0.003406401432477363,0.6958796381339002,0.22573473074187095,53.727506426735204,0,
2023-02-13,0.01036,0.0,0.0,0.19999999999999996,0.0714285714285714,0.051415300842863,0.6881769817981231,0.22828265747906798,53.727506426735204,0,
2023-02-14,0.01783,0.0,0.0,0.0,0.0344827586206895,0.08423661637735402,0.6807721770864169,0.23068416807492284,53.727506426735204,0,
2023-02-15,0.00166,0.0,0.0,0.0,0.0,0.10135597583798753,0.6736380121068805,0.2329446146899282,53.727506426735204,0,
2023-02-19,0.00257,0.0,0.0,0.0,0.0,0.10750521754649996,0.6667503272562733,0.2350688772855623,53.727506426735204,0,
2023-02-21,0.00022,0.0,0.0,0.0,0.0,0.10621122242612296,0.6600875690515727,0.23706141476772616,53.727506426735204,0,
2023-02-23,0.002,0.0,0.0,0.0,0.0,0.1000777071630616,0.6536304201598783,0.23892630878799925,53.727506426735204,0,
2023-02-26,0.004730000000000001,0.0,0.0,0.0,0.0,0.09100430609863143,0.6473614905905642,0.24066730143111936,53.727506426735204,0,
2023-02-27,8.999999999999999e-05,0.0,0.0,0.0,0.0,0.08035646702396147,0.6412650583296683,0.24228782777859198,53.727506426735204,0,
2023-02-28,0.00209,0.0,0.0,0.0,0.0,0.0690968293826306,0.6353268502058573,0.24379104415158645,53.727506426735204,0,0.7882495174759686
2023-03-01,0.00055,0.0,0.0,0.0,0.0,0.05788649141203768,0.6295338556931466,0.24517985268887427,100.0,0,0.7882495174759686
2023-03-02,0.00011,0.0,0.0,0.0,0.0,0.04716278293742958,0.6238741678304398,0.24645692279832387,100.0,0,0.7882495174759686
2023-03-05,0.00145,0.0,0.0,0.0,0.0,0.03719874539929069,0.618336846582218,0.2476247099265534,100.0,0,0.7310191940221218
2024-01-22,0.13841,0.17543859649122817,0.0,0.0,0.13559322033898313,0.13978576232427115,1.562132289312416,0.15555255495650477,100.0,1,0.8874330167788054
2024-01-23,0.052770000000000004,0.07801899592944372,0.17543859649122817,0.0,0.16410256410256419,0.2935405605390188,1.378597326077057,0.27283412440300836,100.0,0,0.9101320233045528
2024-01-24,0.00367,0.0,0.07801899592944372,0.17543859649122817,0.10963687150837997,0.37351664940771545,1.1554759694220236,0.34130873897197744,100.0,0,0.9101320233045528
2024-01-28,0.01154,0.0,0.0,0.07801899592944372,0.060040026684456294,0.4022058738580596,1.0357466282436498,0.38849583835904794,100.0,0,0.9101320233045528
2024-01-29,0.00456,0.0,0.0,0.0,0.014687100893997496,0.3963288401858687,0.9569572564716006,0.4222341153585211,100.0,0,0.9101320233045528
2024-01-30,0.00441,0.0,0.0,0.0,0.0,0.36819111580274094,0.8992631549266583,0.44614158357012973,100.0,0,0.9101320233045528
2024-01-31,0.00365,0.0,0.0,0.0,0.0,0.3267366657204731,0.8540915538612405,0.46224290655757067,100.0,0,0.9101320233045528
2024-02-01,0.00246,0.0,0.0,0.0,0.0,0.2783639617781647,0.8170375666202682,0.47178941581979833,100.0,0,0.9101320233045528
2024-02-04,0.22309,0.0,0.0,0.0,0.0,0.22755635964186016,0.785562661879341,0.47559191698057796,100.0,0,0.9101320233045528
2024-02-05,0.00518,0.0,0.0,0.0,0.0,0.17736738197540158,0.7580754589241436,0.4741764322767227,100.0,0,0.9101320233045528
2024-02-06,0.0038799999999999998,0.0,0.0,0.0,0.0,0.1297928791432672,0.7335084547349621,0.4678612764742351,100.0,0,0.9101320233045528
2024-02-07,0.011550000000000001,0.0,0.0,0.0,0.0,0.08605518831212633,0.7111008936623809,0.4567919435954781,100.0,0,0.9101320233045528
2024-02-08,0.007730000000000001,0.0,0.0,0.0,0.0,0.046819001756943646,0.6902763396903854,0.4409469599317916,100.0,0,0.9101320233045528
2024-02-11,0.00575,0.0,0.0,0.0,0.0,0.012354386631735825,0.6705659973055613,0.4201153482459179,100.0,0,0.7799846975875326
2024-02-12,0.00314,0.0,0.0,0.0,0.0,-0.017340966033095317,0.6515526843843541,0.3938337511463958,100.0,0,0.7799846975875326
2024-02-15,0.03726,-0.157960981749528,0.0,0.0,-0.13049129191577846,-0.2403557363329355,0.06323500863703657,0.29669562189363297,0.0,0,0.9270735482877221
2024-02-18,0.0027400000000000002,0.0,-0.157960981749528,0.0,-0.10116888351471187,-0.3453652240577657,0.011808748181863327,0.2702997233244002,0.0,0,0.7311154483570573
2024-02-19,0.00554,0.0,0.0,-0.157960981749528,-0.06979977753058952,-0.39890901570412785,-0.05768150483880298,0.2408485291710711,0.0,0,0.7311154483570573
2024-02-20,0.00248,0.0,0.0,0.0,-0.03616193632041498,-0.4164790577319198,0.012660282759567239,0.26776248128243485,0.0,0,0.7311154483570573
2024-02-21,0.00763,0.0,0.0,0.0,0.0,-0.40963115977229475,0.07795142459665753,0.29224485172980025,0.0,0,0.7311154483570573
2024-02-22,0.00441,0.0,0.0,0.0,0.0,-0.38690391593633866,0.12778814276455316,0.3118471264884481,0.0,0,0.7311154483570573
2024-02-25,0.00059,0.0,0.0,0.0,0.0,-0.35453337312898736,0.16793395665492578,0.32729435890438674,0.0,0,0.7311154483570573
