date,vol,return,return_lag1,return_lag2,dist_to_ma5,macd_hist,bb_pb,bb_bandwidth,rsi,label
2015-02-03,152.66,0.012601648346059147,0.0051841762988047435,-0.006434964594487558,0.01015416857531326,14.139335610049159,0.761923742960752,0.16317887538336873,77.8835850817462,1
2015-02-04,108.85,0.009201011819969906,0.012601648346059147,0.0051841762988047435,0.015692692886401183,16.115846587937483,0.7921242757300401,0.15973192629894123,74.75264616811181,0
2015-02-05,96.19,-0.008013195393557382,0.009201011819969906,0.012601648346059147,0.005067581196677828,9.35072955692408,0.7260485370030786,0.14157713543975914,68.91492349767167,0
2015-02-08,75.48,-0.0007526017442297528,-0.008013195393557382,0.009201011819969906,0.0007147151118631623,2.0985453115694384,0.7064290185277141,0.12524048613794145,70.05212491195114,0
2015-02-09,93.9,-0.0073780394118055925,-0.0007526017442297528,-0.008013195393557382,-0.007745528888981834,-9.29358603717455,0.6335626594856549,0.09881171206699449,63.334080968935645,0
2015-02-10,135.4,0.0016379245806044107,-0.0073780394118055925,-0.0007526017442297528,-0.005047794767900071,-16.94028797594666,0.6397349328079251,0.076983422996368,55.47409635135896,0
2015-02-11,111.28,-0.013117320579961844,0.0016379245806044107,-0.0073780394118055925,-0.012638631345462947,-31.121172204605926,0.42079484608972506,0.061195336549257344,45.54072374595899,0
2015-02-12,89.24,-0.0023969427210519534,-0.013117320579961844,0.0016379245806044107,-0.010644893199878713,-41.78984816034608,0.3518370396259362,0.05574243074403742,41.939431344172995,0
2015-02-15,46.5,0.004352973523087389,-0.0023969427210519534,-0.013117320579961844,-0.0029350392642214507,-45.40022971108266,0.39630909047927804,0.04942804825477715,47.54830418019047,0
2015-02-16,95.7,-0.020824757221554413,0.004352973523087389,-0.0023969427210519534,-0.01772535839080225,-60.01216119514342,-0.060486924758958525,0.046594185031814284,32.14978618942037,0
2015-02-17,143.64,-0.015863892041661054,-0.020824757221554413,0.004352973523087389,-0.023970724863794368,-77.31113460817275,-0.2317990825803131,0.05569809511219613,30.088192244270346,1
2015-02-18,83.53,0.010958410405083718,-0.015863892041661054,-0.020824757221554413,-0.008483360242357962,-78.90902313768856,0.033387588005271786,0.06200038253449639,36.84101840459124,0
2015-02-19,93.63,-0.005874871424931483,0.010958410405083718,-0.015863892041661054,-0.00882307619450462,-80.57533604946657,0.02676832489639554,0.06928542641582004,37.07420555892286,0
2015-02-22,51.06,0.0014080496139727838,-0.005874871424931483,0.010958410405083718,-0.0012622875806680423,-77.58586815691903,0.10331053045362422,0.07417539952470263,34.97114223077267,1
2015-02-23,165.13,0.011226440431616025,0.0014080496139727838,-0.005874871424931483,0.009626699099877234,-65.70776703857568,0.2712624228877678,0.07587245240485153,33.94924835947862,0
2015-02-24,53.54,0.001095703218576105,0.011226440431616025,0.0014080496139727838,0.006967303625001087,-54.862314174567686,0.3063673175183431,0.07534523534325167,28.69533649270494,0
2015-02-25,69.25,-0.01483406612385374,0.001095703218576105,0.011226440431616025,-0.006551521760523982,-54.87808381002341,0.155310573111539,0.07902484620531941,27.047823392862043,0
2015-02-26,94.11,-0.014264321349064524,-0.01483406612385374,0.001095703218576105,-0.0176885332992075,-61.096281711977355,0.053891064848413925,0.08652773537256436,24.19344164653714,0
2015-03-01,65.88,-0.00540175123017872,-0.014264321349064524,-0.01483406612385374,-0.018637202776859096,-65.33465725457157,0.0640233444622858,0.09483171935380272,24.663726292176506,1
2015-03-02,81.56,0.018607025945781785,-0.00540175123017872,-0.014264321349064524,0.0026928403909942666,-53.719475091050136,0.27509971040028547,0.09611702030988879,33.44979662380615,0
2015-03-03,64.48,0.002002891185058031,0.018607025945781785,-0.00540175123017872,0.007615548675961925,-42.4691962790696,0.31589885062851636,0.09354380612932928,38.00115314964143,0
2015-03-04,58.9,-0.0014996934124306138,0.002002891185058031,0.018607025945781785,0.006276076754308413,-34.05614969060862,0.31801187047216173,0.0863237208984995,38.28751431844209,1
2015-03-05,78.79,0.012146630504404454,-0.0014996934124306138,0.002002891185058031,0.013283394244038904,-19.5440553148264,0.4781504773194576,0.07925816174813068,41.74281102039864,1
2015-03-08,79.91,0.006519437175098508,0.012146630504404454,-0.0014996934124306138,0.01228809598578362,-5.275188229788153,0.5908033980056175,0.07106113407068702,52.275742466941246,1
2015-03-09,84.45,0.007802116739171749,0.006519437175098508,0.012146630504404454,0.014702389023308227,8.920205898711597,0.7307241922154643,0.06592563010698968,62.99541054274515,0
2015-03-10,103.64,-0.0004231176668613168,0.007802116739171749,0.006519437175098508,0.009333751363866272,17.243692713473475,0.7668849078207276,0.05918565251860352,58.81528180041144,0
2015-03-11,75.92,-0.0137020443895155,-0.0004231176668613168,0.007802116739171749,-0.0068789205450040525,13.183137589248052,0.5521992365162388,0.05549313083843744,54.51846089629255,1
2015-03-12,65.25,0.006715425115334961,-0.0137020443895155,-0.0004231176668613168,-0.0015514071926053807,14.137734822964628,0.6929732790303895,0.052833221997326735,56.61581062004563,1
2015-03-15,91.81,0.008843691945767729,0.006715425115334961,-0.0137020443895155,0.005453789482237292,19.490448130150092,0.8864449505966734,0.05038184938748776,55.761937716263,0
2015-03-16,71.71,-0.020256980494610888,0.008843691945767729,0.006715425115334961,-0.011139482837596137,9.260344493766768,0.48239969182771725,0.05020200233273757,46.7467034048416,0
2015-03-17,71.89,0.0033917479360394687,-0.020256980494610888,0.008843691945767729,-0.004724817627660527,4.414348845215876,0.5373499200194622,0.049147089760531386,53.976327382132595,0
2015-03-18,83.28,-0.008079419913338381,0.0033917479360394687,-0.020256980494610888,-0.010863720197358373,-3.8055197429927543,0.3791014948429919,0.049478063339600344,56.80793344039481,0
2015-03-19,112.32,0.0036060429688489215,-0.008079419913338381,0.0033917479360394687,-0.004753994930438155,-6.588015251164084,0.4473063263550083,0.04917410543292865,60.805746120907926,0
2015-03-22,74.8,-0.017182726290884576,0.0036060429688489215,-0.008079419913338381,-0.014200558386407991,-18.421535240362964,0.13542659848866634,0.05214509826784175,45.28214272446972,0
2015-03-23,85.61,0.0020727482246949425,-0.017182726290884576,0.0036060429688489215,-0.008921914534511965,-23.590939531079805,0.20677597795444058,0.0539036904235624,45.305000881907944,0
2015-03-24,73.89,-0.000701932554735829,0.0020727482246949425,-0.017182726290884576,-0.0055426099418773855,-25.915992698603617,0.22390148967643295,0.05517850667909848,45.62819050468417,0
2015-03-25,113.85,-0.01804956263864388,-0.000701932554735829,0.0020727482246949425,-0.017534183251579294,-36.647681138084295,-0.0051052329661818935,0.06262423913072195,33.20252015590806,0
2015-03-26,114.85,-0.015867873535352572,-0.01804956263864388,-0.000701932554735829,-0.023406947754294638,-50.52692099532351,-0.11423941797804324,0.07421132557975293,25.734094278827598,0
2015-03-29,52.99,0.0011587959127312697,-0.015867873535352572,-0.01804956263864388,-0.01608186277415491,-55.551977837569936,-0.026380258559636376,0.08238354222466207,21.52797227279106,1
2015-03-30,71.89,0.006176769476740063,0.0011587959127312697,-0.015867873535352572,-0.004489256221444249,-51.734302795297694,0.09892762389907542,0.08910936584785843,25.279840593421227,0
2015-03-31,69.81,0.001733748438694338,0.006176769476740063,0.0011587959127312697,0.00233059820881909,-45.01994616883037,0.15719759620554047,0.0942977717261176,29.498700334199967,0
2015-04-01,48.08,-0.00388077216966376,0.001733748438694338,0.006176769476740063,0.0006175694551200372,-40.01066719612177,0.15701620498446567,0.0998019578424428,24.17631684377217,0
2015-04-02,92.13,-0.02281486658907861,-0.00388077216966376,0.001733748438694338,-0.01874180604664122,-47.227710967481585,0.023067496681646232,0.11075987767596064,14.366863703147018,0
2015-04-05,89.92,-0.03194766372798097,-0.02281486658907861,-0.00388077216966376,-0.04044749375006562,-66.50214285715347,-0.09561169334077986,0.13099712893281765,13.372504432589011,0
2015-04-06,128.45,-0.011550177400129646,-0.03194766372798097,-0.02281486658907861,-0.03843745747793825,-80.38801100030898,-0.0580894725356335,0.14827582935833783,10.255655442585251,1
2015-04-07,87.42,0.024462168439066234,-0.011550177400129646,-0.03194766372798097,-0.005510306952940414,-70.35816858258966,0.13542388012560427,0.15156166067206642,23.631080366281893,1
2015-04-08,140.36,0.008321124504810928,0.024462168439066234,-0.011550177400129646,0.009918897614270783,-54.357517738165456,0.21772297386581466,0.1534351090043161,25.590345640009673,1
2015-04-09,74.64,0.011791009113768514,0.008321124504810928,0.024462168439066234,0.021808074238688135,-33.34463927970435,0.31180543063021965,0.14916920465241193,33.88558837475256,0
2015-04-14,77.17,0.0039358877619755095,0.011791009113768514,0.008321124504810928,0.018343931374971367,-14.595530556636561,0.35605366285347184,0.13873851156615652,34.597476771536805,0
2015-04-15,87.42,-0.003455603061541135,0.0039358877619755095,0.011791009113768514,0.005910857511904233,-2.4172951037834025,0.3506004337883294,0.13357481395174373,34.027815468113985,0
2015-04-16,80.6,-0.0011060305642104362,-0.003455603061541135,0.0039358877619755095,0.0009397988127719525,6.350359677568605,0.3612617141187952,0.12534062810430574,38.14916790897203,0
2015-04-19,97.18,-0.01367190137326657,-0.0011060305642104362,-0.003455603061541135,-0.012220716663826958,5.3803595203197006,0.27508654229116986,0.11985627206723043,38.87235526621719,0
2015-04-20,80.79,-0.01934437226622121,-0.01367190137326657,-0.0011060305642104362,-0.024806357390616207,-4.721504942386815,0.14323284067843103,0.11455399848367262,33.88230748532126,0
2015-04-21,84.76,-0.002386054552350081,-0.01934437226622121,-0.01367190137326657,-0.019294641731879114,-10.494704553620352,0.15638169570117016,0.11343539493293066,30.773039111676994,1
2015-04-22,68.88,0.006322832983684412,-0.002386054552350081,-0.01934437226622121,-0.007025336963946138,-8.45912666111056,0.23014440637413136,0.10690895937783898,32.603920650549796,1
2015-04-23,59.04,0.01179675739817787,0.006322832983684412,-0.002386054552350081,0.008298001924837095,1.4198578380390074,0.35434343518273204,0.09517634512153439,37.88273873019641,0
2015-04-26,69.18,-0.011158717669439433,0.01179675739817787,0.006322832983684412,8.363123582633136e-05,2.9794356488846745,0.2596256881416207,0.09047575345575969,40.84587040021588,0
2015-04-27,120.59,-0.016236075173792552,-0.011158717669439433,0.01179675739817787,-0.013821188618970304,-3.492180989459257,0.12951329395071864,0.0933222314700291,45.4934366598134,0
2015-04-28,109.22,-0.019209577003136413,-0.016236075173792552,-0.011158717669439433,-0.02723660893195612,-16.11691240810086,0.0111266873590525,0.10056171043363767,43.310447626360755,1
2015-04-29,127.29,0.01896280184190169,-0.019209577003136413,-0.016236075173792552,-0.0055155087511457035,-11.405987597783792,0.2145979012378225,0.09682019710731984,41.08576256865226,1
2015-04-30,144.83,0.021652849917947803,0.01896280184190169,-0.019209577003136413,0.01742445359845557,5.59804303572011,0.4545666230537781,0.08671288184169922,45.80373529094251,0
2015-05-03,85.6,-0.012605667015286759,0.021652849917947803,0.01896280184190169,0.0062729226672495475,10.696782167847203,0.3249742444704393,0.07688536299067816,38.18899895351002,1
2015-05-04,116.42,0.010411107361114391,-0.012605667015286759,0.021652849917947803,0.012977214885173005,20.707742507755,0.4753957228101896,0.07348846249616976,40.49845096564528,1
2015-05-05,110.15,0.0203661068038814,0.010411107361114391,-0.012605667015286759,0.02169812194184817,38.78156552986036,0.7300457177916658,0.07488204177273117,47.85689649766406,0
2015-05-06,95.22,-0.008157828264235722,0.0203661068038814,0.010411107361114391,0.007120212035235385,45.03172528716124,0.6028608793649525,0.07279799699119062,46.06085114344862,0
2015-05-07,86.17,-0.0015862846335955583,-0.008157828264235722,0.0203661068038814,0.0039031145682977275,47.150482656935,0.5786872698906136,0.07293656699878111,49.26027291152967,0
2015-05-10,57.0,-0.005767281828143678,-0.0015862846335955583,-0.008157828264235722,-0.004835683395777335,44.12996353957328,0.5068734067472765,0.07222761051953426,53.36414746028192,0
2015-05-11,74.17,-1.7257248044133533e-05,-0.005767281828143678,-0.0015862846335955583,-0.005757372701689412,41.15411893434194,0.5237699204215186,0.068828225815063,54.13486366086882,0
2015-05-12,61.46,-0.0020145308536158035,-1.7257248044133533e-05,-0.005767281828143678,-0.004252366788101591,37.16060093383088,0.5170229609667734,0.06336444943882244,51.633272882207706,0
2015-05-13,109.16,-0.01705144137767256,-0.0020145308536158035,-1.7257248044133533e-05,-0.016038252324645175,24.332051889165257,0.2675158101616964,0.05972181070356884,42.78214668245109,0
2015-05-14,123.6,-0.026161007596379626,-0.01705144137767256,-0.0020145308536158035,-0.031970255542402515,1.7870151840879345,-0.0705086567751317,0.06385712566927085,39.30279980579384,0
2015-05-17,95.71,-0.0051123820810106135,-0.026161007596379626,-0.01705144137767256,-0.027140693941221983,-14.144244375870798,-0.03680297039020613,0.07180138924319904,41.95726389407196,1
2015-05-18,147.42,0.06503512925921084,-0.0051123820810106135,-0.026161007596379626,0.033541157473246486,11.932363708984312,0.8043332877550707,0.07485434238786287,62.83969666851533,1
